WORDS AND STEMS OF URDU FILE AND THEIR ACCURACY
Stems	Words	
سب	سب
سے	سے
پہل	پہلے
تمام	تمام
پاکستانی	پاکستانیوں
کو	کو
عید	عید
کی	کی
مُبارک۔	مُبارک۔
ﷲ	ﷲ
پا	پاک
کا	کا
حام	حامی
و	و
صر	ناصر
ہو۔	ہو۔
آمین!	آمین!
م	میں
نے	نے
اپ	اپنے
ای	ایک
پچھل	پچھلے
کالم	کالم
حضرت	حضرت
شیخ	شیخ
سعد	سعدی
شیرازیؒ	شیرازیؒ
مشہور	مشہور
مقولہ	مقولہ
درج	درج
ک	کیا
تھ	تھا
جو	جو
کچھ	کچھ
ی	یوں
ہے	ہے
’’حضرت	’’حضرت
عیسیٰؑ	عیسیٰؑ
گدھ	گدھا
لاتعداد	لاتعداد
مرتبہ	مرتبہ
مکہ	مکہ
گ	گیا
مگر	مگر
جب	جب
بھ	بھی
واپس	واپس
آ	آیا
وہ	وہ
ہی	ہی
تھا‘‘،	تھا‘‘،
اس	اس
مطلب	مطلب
یہ	یہ
کہ	کہ
اگر	اگر
آپ	آپ
کردار	کردار
اخلاق	اخلاق
خراب	خراب
تو	تو
حج	حج
کر	کریں
یا	یا
زیارت	زیارت
ِمسجد	ِمسجد
نبو	نبوی
کے	کے
کردار،	کردار،
کوئ	کوئی
تبدیل	تبدیلی
نہ	نہ
آئ	آئے
گی	گی
جن	جن
لوگ	لوگوں
بچپن	بچپن
اچھ	اچھی
تربیت	تربیت
ہو	ہوتی
مر	مرتے
دم	دم
تک	تک
اعلیٰ	اعلیٰ
اقدار	اقدار
حامل	حامل
رہ	رہتے
ہیں۔	ہیں۔
ان	ان
خواہ	خواہ
غربت	غربت
اور	اور
مشکلات	مشکلات
سام	سامنا
کی	کیوں
کر	کرنا
پڑے۔	پڑے۔
دوست	دوست
نہایت	نہایت
نفیس،	نفیس،
ہدایت	ہدایت
آمیز	آمیز
واقعہ	واقعہ
واٹس	واٹس
ایپ	ایپ
پر	پر
بھیج	بھیجا
اوروہ	اوروہ
ات	اتنا
مفید	مفید
خدمت	خدمت
پیش	پیش
فرض	فرض
سمجھ	سمجھ
رہ	رہا
ہوں۔	ہوں۔
ہے
دوڑ	ہے
دوڑ
مقابل	مقابلوں
فنش	فنش
لائن	لائن
چند	چند
فٹ	فٹ
فاصل	فاصلے
کین	کینیا
ایتھلیٹ	ایتھلیٹ
عبدالمطیع	عبدالمطیع
آگ	آگے
تھا،	تھا،
سمجھ	سمجھا
دوڑ	دوڑ
جیت	جیت
چک	چکا
ہے،	ہے،
بالکل	بالکل
پیچھ	پیچھے
اسپین	اسپین
رَنر	رَنر
ایون	ایون
فرنانڈیز	فرنانڈیز
دیکھ	دیکھا
مطیع	مطیع
غلط	غلط
فہم	فہمی
بنیاد	بنیاد
رُ	رُک
اس	اسے
آواز	آواز
دی	دی
دوڑ	دوڑو
ابھ	ابھی
کراس	کراس
نہ	نہیں
ہوئی۔	ہوئی۔
زبان	زبان
سمجھ	سمجھتا
تھااس	تھااس
لئ	لئے
آئی،	آئی،
بہترین	بہترین
موقع	موقع
نکل	نکل
کر	کر
لی	لیتا
عجیب	عجیب
فیصلہ	فیصلہ
دھک	دھکا
دے	دے
پار	پار
کر	کروا
دیا۔	دیا۔
تماشائ	تماشائی
اسپورٹس	اسپورٹس
مین	مین
اسپرٹ	اسپرٹ
دنگ	دنگ
رہ	رہ
گئے،	گئے،
ہار	ہار
ہیر	ہیرو
بن	بن
تھا۔	تھا۔
صحاف	صحافی
بعد	بعد
پوچھ	پوچھا
تم	تم
کیا؟	کیا؟
جواب	جواب
د	دیا
’’	’’
میر	میرا
خواب	خواب
ہم	ہم
ایس	ایسا
معاشرہ	معاشرہ
قائم	قائم
جہ	جہاں
دوسر	دوسرے
اسلئ	اسلئے
تاکہ	تاکہ
سکے‘‘۔	سکے‘‘۔
پھر	پھر
پوچھا!	پوچھا!
’’مگر	’’مگر
جیت	جیتنے
دیا؟‘‘	دیا؟‘‘
’’م	’’میں
دیا،	دیا،
ویس	ویسے
اس	اسی
تھی‘‘۔	تھی‘‘۔
اصرار	اصرار
کیا،	کیا،
سک	سکتے
تھے۔	تھے۔
طرف	طرف
بول	بولا
’’اس	’’اس
اہمیت	اہمیت
ہوتی؟	ہوتی؟
میڈل	میڈل
عزت	عزت
میر	میری
م	ماں
میر	میرے
بار	بارے
سوچتی؟اقدار	سوچتی؟اقدار
نسل	نسل
در	در
منتقل	منتقل
ہیں،	ہیں،
