 ہفتا	ہف
سال 	سال
آج 	آج
 گھنٹا 	گھنٹ 
بجے 	بج
گھڑی 	گھڑ
جانا 	جا
ہنسنا 	ہنس
دیکھنا 	دیکھ
انگلی 	انگل
پیٹھ 	پیٹھ
 چوسے  	چوس
لاشے 	لاش
مرغے 	مرغ
 دھڑکے  	دھڑک
بھونکے 	بھونک
 سیکھنے  سیکھ
گِھسا 	گِھس
جھکا 	جھک
کانپا 	کانپ
روتا 	رو
چھوتا 	چھو
خرچا 	خرچ
 بَچھڑا  	بَچھڑ
جھکوں 	جھک
سہیں 	سہ
ذاتوں 	ذات
 شیخوں  	شیخ
غاروں 	غار
ماروں 	مار
بالوں 	بال
چوروں 	چور
حوروں 	حور
چہروں 	چہر
سالوں 	سال
لاؤں 	لا
کھاؤں 	کھا
جاؤں 	جا
جانوں 	جان
کاٹیں 	کاٹ
ٹانگیں 	ٹانگ
جاگیں 	جاگ
مانجھیں 	مانجھ
بھاگیں 	بھاگ
 تاجراں  	تاجر
جھاڑیاں 	جھاڑ
 صافیاں  	صاف
جھڑکیاں 	جھڑک
سواراں 	سوار
 بہاراں  	بہار
دیواریں 	دیوار
ملامتیں 	ملامت
وارداتیں 	واردات
 ڈھلک  	ڈھل
غمناک 	غم
افسوسناک 	افسوس
خوفناک 	خوف
شرمناک 	شرم
تابناک	تاب
